"url","flag_image","country","last_year_population","country_area","country_land_area","country_density (/km²)","population_world_percentage","country_population_rank","population_by_year","annual_population_growth","births_per_day","deaths_per_day","emigrations_per_day","net_change_per_day","population_change","capital","continent","regions","larget_cities","abbreviation"
"https://worldpopulationreview.com/countries/micronesia","https://worldpopulationreview.com/images/country-flags/png100/fm.png","Micronesia",,,,,,196,,"500 0.45%",7,2,3,2,"16","Palikir","Oceania","[""Micronesia""]","[""Weno""]","FSM"
"https://worldpopulationreview.com/countries/saint-barthelemy","https://worldpopulationreview.com/images/country-flags/png100/bl.png","Saint-barthelemy",,,,,,228,,"136 1.42%",,,,,,"Gustavia","North America","[""Caribbean"",""Latin America""]","[""Gustavia""]","BLM"
"https://worldpopulationreview.com/countries/czechia","https://worldpopulationreview.com/images/country-flags/png100/cz.png","Czech-republic",,,,,,92,,"-81.4K -0.01%",228,322,,57,"456","Prague","Europe","[""Eastern Europe""]","[""Prague"",""Brno"",""Ostrava""]","CZE"
"https://worldpopulationreview.com/countries/tanzania","https://worldpopulationreview.com/images/country-flags/png100/tz.png","Tanzania",,,,,,20,,"2M 2.92%",6734,1111,69,5554,"44432","Dodoma","Africa","[""Eastern Africa"",""Sub-Saharan Africa""]","[""Dar es Salaam"",""Mwanza"",""Zanzibar""]","TZA"
"https://worldpopulationreview.com/countries/uzbekistan","https://worldpopulationreview.com/images/country-flags/png100/uz.png","Uzbekistan",,,,,,43,,"670.8K 1.96%",2449,626,12,1811,"14488","Tashkent","Asia","[""Central Asia"",""South Central Asia""]","[""Tashkent"",""Samarkand"",""Namangan""]","UZB"
"https://worldpopulationreview.com/countries/switzerland","https://worldpopulationreview.com/images/country-flags/png100/ch.png","Switzerland",,,,,,100,,"40.4K 0.68%",221,211,,103,"824","Bern","Europe","[""Western Europe""]","[""Zurich"",""Geneva"",""Basel""]","CHE"
"https://worldpopulationreview.com/countries/tonga","https://worldpopulationreview.com/images/country-flags/png100/to.png","Tonga",,,,,,199,,"-451 -0.42%",6,2,6,2,"16","Nuku'alofa","Oceania","[""Polynesia""]","[""Nuku'alofa""]","TON"
"https://worldpopulationreview.com/countries/syria","https://worldpopulationreview.com/images/country-flags/png100/sy.png","Syria",,,,,,57,,"852.1K 4.12%",1711,345,,2203,"17624","Damascus","Asia","[""Western Asia"",""The Middle East""]","[""Damascus"",""Aleppo"",""Homs""]","SYR"
"https://worldpopulationreview.com/countries/ireland","https://worldpopulationreview.com/images/country-flags/png100/ie.png","Ireland",,,,,,125,,"48.9K 1.27%",144,103,,129,"1032","Dublin","Europe","[""Northern Europe""]","[""Dublin"",""Cork"",""Dun Laoghaire""]","IRL"
"https://worldpopulationreview.com/countries/canada","https://worldpopulationreview.com/images/country-flags/png100/ca.png","Canada",,,,,,38,,"341K 1.03%",989,907,,880,"7040","Ottawa","North America","[""Northern America""]","[""Toronto"",""Montreal"",""Vancouver""]","CAN"
"https://worldpopulationreview.com/countries/armenia","https://worldpopulationreview.com/images/country-flags/png100/am.png","Armenia",,,,,,140,,"-21.4K 0.42%",92,76,74,58,"464","Yerevan","Asia","[""Western Asia""]","[""Yerevan"",""Gyumri"",""Vanadzor""]","ARM"
"https://worldpopulationreview.com/countries/jamaica","https://worldpopulationreview.com/images/country-flags/png100/jm.png","Jamaica",,,,,,142,,"-3.7K -0.03%",86,66,32,12,"96","Kingston","North America","[""Caribbean""]","[""Kingston"",""New Kingston"",""Spanish Town""]","JAM"
"https://worldpopulationreview.com/countries/colombia","https://worldpopulationreview.com/images/country-flags/png100/co.png","Colombia",,,,,,28,,"510.6K 1.05%",1875,834,,1358,"10864","Bogotá","South America","[""South America"",""Latin America""]","[""Bogota"",""Medellin"",""Cali""]","COL"
"https://worldpopulationreview.com/countries/senegal","https://worldpopulationreview.com/images/country-flags/png100/sn.png","Senegal",,,,,,68,,"434.5K 2.38%",1518,285,37,1196,"9568","Dakar","Africa","[""Western Africa"",""Sub-Saharan Africa""]","[""Dakar"",""Pikine"",""Touba""]","SEN"
"https://worldpopulationreview.com/countries/burundi","https://worldpopulationreview.com/images/country-flags/png100/bi.png","Burundi",,,,,,78,,"339.2K 2.58%",1291,265,96,930,"7440","Bujumbura","Africa","[""Eastern Africa"",""Sub-Saharan Africa""]","[""Bujumbura"",""Muyinga"",""Ruyigi""]","BDI"
